category,name
Economic Sciences,A. Michael Spence
Physics,Aage N. Bohr
Chemistry,Aaron Ciechanover
Chemistry,Aaron Klug
Physics,Abdus Salam
Economic Sciences,Abhijit Banerjee
Peace,Abiy Ahmed Ali
Chemistry,Ada E. Yonath
Physics,Adam G. Riess
Chemistry,Adolf Butenandt
Chemistry,Adolf von Baeyer
Chemistry,Adolf Windaus
Peace,Adolfo Pérez Esquivel
Chemistry,Ahmed Zewail
Chemistry,Akira Suzuki
Chemistry,Akira Yoshino
Peace,Al Gore
Chemistry,Alan Heeger
Physiology or Medicine,Alan Hodgkin
Chemistry,Alan MacDiarmid
Physics,Albert A. Michelson
Literature,Albert Camus
Physiology or Medicine,Albert Claude
Physics,Albert Einstein
Physics,Albert Fert
Peace,Albert Gobat
Peace,Albert Luthuli
Peace,Albert Schweitzer
Physiology or Medicine,Albert Szent-Györgyi
Physiology or Medicine,Albrecht Kossel
Physics,Aleksandr M. Prokhorov
Literature,Alexandr Solzhenitsyn
Physics,Alexei Abrikosov
Physiology or Medicine,Alexis Carrel
Peace,Alfonso García Robles
Physiology or Medicine,Alfred D. Hershey
Peace,Alfred Fried
Physiology or Medicine,Alfred G. Gilman
Physics,Alfred Kastler
Chemistry,Alfred Werner
Literature,Alice Munro
Physiology or Medicine,Allan M. Cormack
Physiology or Medicine,Allvar Gullstrand
Physiology or Medicine,Alphonse Laveran
Peace,Alva Myrdal
Economic Sciences,Alvin E. Roth
Economic Sciences,Amartya Sen
Peace,American Friends Service Committee
Peace,Amnesty International
Literature,Anatole France
Physiology or Medicine,André F. Cournand
Physics,Andre Geim
Literature,André Gide
Physiology or Medicine,André Lwoff
Peace,Andrei Sakharov
Physiology or Medicine,Andrew Huxley
Physiology or Medicine,Andrew V. Schally
Physiology or Medicine,Andrew Z. Fire
Economic Sciences,Angus Deaton
Physics,Anthony J. Leggett
Physics,Antony Hewish
Peace,Anwar al-Sadat
Chemistry,Archer J.P. Martin
Physiology or Medicine,Archibald V. Hill
Chemistry,Arieh Warshel
Peace,Aristide Briand
Chemistry,Arne Tiselius
Physics,Arno Penzias
Physics,Arthur Ashkin
Physics,Arthur B. McDonald
Physics,Arthur H. Compton
Chemistry,Arthur Harden
Peace,Arthur Henderson
Physiology or Medicine,Arthur Kornberg
Physics,Arthur L. Schawlow
Chemistry,Artturi Virtanen
Physiology or Medicine,Arvid Carlsson
Physiology or Medicine,August Krogh
Peace,Auguste Beernaert
Peace,Aung San Suu Kyi 
Chemistry,Avram Hershko
Chemistry,Aziz Sancar
Peace,Barack H. Obama
Physiology or Medicine,Barbara McClintock
Physics,Barry C. Barish
Physiology or Medicine,Barry J. Marshall
